# mb,ic,ih,iw,oc,kh,kw,stride_h,stride_w,pad_h,pad_w,dil_h,dil_w,grp,count
# conv_all.csv - benchmark case set for bench_winograd (F(4,4,3,3)).
# All rows: 3x3 kernel, stride=1, pad=1, dilation=0, group=1 (bench_winograd
# filters for exactly these). 'count' is informational only (benchdnn n-iter);
# timing is controlled by --repeats. See shapes/README.md for section purpose.

# Case 0-8 (continuity with earlier F44/F22 measurements)
4,192,40,40,192,3,3,1,1,1,1,0,0,1,20
4,96,80,80,96,3,3,1,1,1,1,0,0,1,20
4,48,160,160,48,3,3,1,1,1,1,0,0,1,20
4,192,20,20,192,3,3,1,1,1,1,0,0,1,20
4,384,80,80,96,3,3,1,1,1,1,0,0,1,10
4,768,40,40,96,3,3,1,1,1,1,0,0,1,10
4,768,20,20,96,3,3,1,1,1,1,0,0,1,10
4,96,40,40,96,3,3,1,1,1,1,0,0,1,20
4,96,20,20,96,3,3,1,1,1,1,0,0,1,20

# ResNet50 3x3 s1 (real CNN, mb=1/4)
1,64,56,56,64,3,3,1,1,1,1,0,0,1,100
4,64,56,56,64,3,3,1,1,1,1,0,0,1,50
1,128,28,28,128,3,3,1,1,1,1,0,0,1,100
4,128,28,28,128,3,3,1,1,1,1,0,0,1,50
1,256,14,14,256,3,3,1,1,1,1,0,0,1,100
4,256,14,14,256,3,3,1,1,1,1,0,0,1,50
1,512,7,7,512,3,3,1,1,1,1,0,0,1,100
4,512,7,7,512,3,3,1,1,1,1,0,0,1,50
1,256,56,56,64,3,3,1,1,1,1,0,0,1,100
1,512,28,28,128,3,3,1,1,1,1,0,0,1,100
1,1024,14,14,256,3,3,1,1,1,1,0,0,1,100
1,2048,7,7,512,3,3,1,1,1,1,0,0,1,100

# VGG16 3x3 s1 (mb=1, mb=4)
1,64,224,224,64,3,3,1,1,1,1,0,0,1,20
4,64,224,224,64,3,3,1,1,1,1,0,0,1,10
1,128,112,112,128,3,3,1,1,1,1,0,0,1,20
4,128,112,112,128,3,3,1,1,1,1,0,0,1,10
1,256,56,56,256,3,3,1,1,1,1,0,0,1,20
4,256,56,56,256,3,3,1,1,1,1,0,0,1,10
1,512,28,28,512,3,3,1,1,1,1,0,0,1,20
4,512,28,28,512,3,3,1,1,1,1,0,0,1,10
1,512,14,14,512,3,3,1,1,1,1,0,0,1,50
1,512,7,7,512,3,3,1,1,1,1,0,0,1,100

# Lightweight / small-image CNN
1,32,112,112,32,3,3,1,1,1,1,0,0,1,50
1,64,56,56,32,3,3,1,1,1,1,0,0,1,50
1,16,224,224,16,3,3,1,1,1,1,0,0,1,20
1,32,64,64,32,3,3,1,1,1,1,0,0,1,50

# Large batch (amortize fixed overhead)
32,64,56,56,64,3,3,1,1,1,1,0,0,1,10
16,128,28,28,128,3,3,1,1,1,1,0,0,1,10
8,192,40,40,192,3,3,1,1,1,1,0,0,1,10
32,48,40,40,48,3,3,1,1,1,1,0,0,1,10

# Fixed-overhead isolation (tiny loads)
1,8,16,16,8,3,3,1,1,1,1,0,0,1,200
1,16,32,32,16,3,3,1,1,1,1,0,0,1,100
1,32,32,32,32,3,3,1,1,1,1,0,0,1,100
1,48,20,20,48,3,3,1,1,1,1,0,0,1,100

# tiles x IC sweep grid (heatmap, mb=4, OC=IC)
# tiles=25 (IH=IW=20)
4,48,20,20,48,3,3,1,1,1,1,0,0,1,50
4,96,20,20,96,3,3,1,1,1,1,0,0,1,50
4,192,20,20,192,3,3,1,1,1,1,0,0,1,50
4,384,20,20,384,3,3,1,1,1,1,0,0,1,50
# tiles=100 (IH=IW=40)
4,48,40,40,48,3,3,1,1,1,1,0,0,1,20
4,96,40,40,96,3,3,1,1,1,1,0,0,1,20
4,192,40,40,192,3,3,1,1,1,1,0,0,1,20
4,384,40,40,384,3,3,1,1,1,1,0,0,1,20
# tiles=400 (IH=IW=80)
4,48,80,80,48,3,3,1,1,1,1,0,0,1,10
4,96,80,80,96,3,3,1,1,1,1,0,0,1,10
4,192,80,80,192,3,3,1,1,1,1,0,0,1,10
4,384,80,80,384,3,3,1,1,1,1,0,0,1,10
# tiles=1600 (IH=IW=160)
4,48,160,160,48,3,3,1,1,1,1,0,0,1,5
4,96,160,160,96,3,3,1,1,1,1,0,0,1,5
4,192,160,160,192,3,3,1,1,1,1,0,0,1,5
4,384,160,160,384,3,3,1,1,1,1,0,0,1,5
